#produtos
#name, description, price, weight, pharmacyID, quantityStock
Benuron;dores de cabeça;5;0.5;1;10
Brufen;dores de cabeça;4;0.7;1;10
Vacina;para os covids;5;0.5;1;10
Fenistil;para as picadas;7;0.1;1;10
Mascaras;para os covids;10;0.4;1;10
Kompensan;para a azia;3.45;0.3;1;10
Benuron;dores de cabeça;5;0.5;2;5
Brufen;dores de cabeça;4;0.7;2;2
Vacina;para os covids;5;0.5;2;15
Fenistil;para as picadas;7;0.1;2;20
Mascaras;para os covids;10;0.4;2;5
Kompensan;para a azia;3.45;0.3;2;10
Benuron;dores de cabeça;5;0.5;3;5
Brufen;dores de cabeça;4;0.7;3;2
Vacina;para os covids;5;0.5;3;20
Fenistil;para as picadas;7;0.1;3;13
Mascaras;para os covids;10;0.4;3;8
Kompensan;para a azia;3.45;0.3;3;8
Benuron;dores de cabeça;5;0.5;4;5
Brufen;dores de cabeça;4;0.7;4;2
Vacina;para os covids;5;0.5;4;3
Fenistil;para as picadas;7;0.1;4;22
Mascaras;para os covids;10;0.4;4;5
Kompensan;para a azia;3.45;0.3;4;12
Benuron;dores de cabeça;5;0.5;5;7
Brufen;dores de cabeça;4;0.7;5;10
Vacina;para os covids;5;0.5;5;15
Fenistil;para as picadas;7;0.1;5;18
Mascaras;para os covids;10;0.4;5;4
Kompensan;para a azia;3.45;0.3;5;9
Benuron;dores de cabeça;5;0.5;6;3
Brufen;dores de cabeça;4;0.7;6;10
Vacina;para os covids;5;0.5;6;12
Fenistil;para as picadas;7;0.1;6;15
Mascaras;para os covids;10;0.4;6;5
Kompensan;para a azia;3.45;0.3;6;10
Benuron;dores de cabeça;5;0.5;6;5
Brufen;dores de cabeça;4;0.7;6;7
Vacina;para os covids;5;0.5;6;15
Fenistil;para as picadas;7;0.1;6;20
Mascaras;para os covids;10;0.4;6;6
Kompensan;para a azia;3.45;0.3;6;10
Benuron;dores de cabeça;5;0.5;7;8
Brufen;dores de cabeça;4;0.7;7;14
Vacina;para os covids;5;0.5;7;12
Fenistil;para as picadas;7;0.1;7;17
Mascaras;para os covids;10;0.4;7;7
Kompensan;para a azia;3.45;0.3;7;22
Benuron;dores de cabeça;5;0.5;8;6
Brufen;dores de cabeça;4;0.7;8;17
Vacina;para os covids;5;0.5;8;8
Fenistil;para as picadas;7;0.1;8;8
Mascaras;para os covids;10;0.4;8;10
Kompensan;para a azia;3.45;0.3;8;12
